Disc_ID,User_ID,Created At time,Created At Year,Created At Month,Created At Day_of_month
ID_3XKIOF,ID_CEDNKSVV,28:48.0,1,1,3
ID_XCC6W4,ID_CEDNKSVV,42:17.4,1,1,5
ID_E4R0I5,ID_EUVUFI8H,12:49.6,1,1,21
ID_183IIQ,ID_JNZQMMX0,06:14.2,1,1,14
ID_441BAB,ID_A8HP1ANN,21:21.9,1,1,11
ID_OIGXGK,ID_A8HP1ANN,21:45.7,1,1,11
ID_441BAB,ID_GUHCJ3WZ,26:51.9,1,1,21
ID_E0NHSS,ID_GUHCJ3WZ,24:42.7,1,1,21
ID_2WS956,ID_PQG4U6Z9,35:35.8,1,1,11
ID_VMAW54,ID_PQG4U6Z9,41:07.0,1,1,11
ID_J2D0N2,ID_PQG4U6Z9,57:58.0,1,1,19
ID_RAFDGN,ID_PQG4U6Z9,03:49.8,1,1,11
ID_LC5LJX,ID_PQG4U6Z9,03:16.5,1,1,11
ID_LC5LJX,ID_PQG4U6Z9,01:12.3,1,1,11
ID_4PVVT3,ID_PQG4U6Z9,04:42.2,1,1,11
ID_183IIQ,ID_PQG4U6Z9,00:36.6,1,1,19
ID_FCVEOR,ID_PQG4U6Z9,07:16.3,1,1,19
ID_85N7JD,ID_2OK0YBNF,16:07.7,1,1,23
ID_A1S4P3,ID_2OK0YBNF,33:45.4,1,1,25
ID_GUZ7T8,ID_TQMLT2YD,00:15.9,1,1,11
ID_GCOB3J,ID_TQMLT2YD,01:19.3,1,1,11
ID_RAFDGN,ID_TQMLT2YD,02:28.1,1,1,11
ID_GUZ7T8,ID_ZDAVDH08,37:04.5,1,1,1
ID_GUZ7T8,ID_98KP92NY,44:59.9,1,1,1
ID_AZ1OX9,ID_98KP92NY,50:42.8,1,1,1
ID_AZ1OX9,ID_98KP92NY,05:39.8,1,1,1
ID_AZ1OX9,ID_98KP92NY,03:29.3,1,1,1
ID_18EL2H,ID_98KP92NY,33:57.0,1,1,1
ID_18EL2H,ID_98KP92NY,08:16.6,1,1,1
ID_0H4NG2,ID_98KP92NY,44:01.0,1,1,1
ID_GUZ7T8,ID_O2NYGOCI,29:53.2,1,1,1
ID_GUZ7T8,ID_KBHUGA7D,14:51.0,1,1,1
ID_2FV7GY,ID_KBHUGA7D,15:17.6,1,1,1
ID_AZ1OX9,ID_KBHUGA7D,14:11.3,1,1,1
ID_GUZ7T8,ID_UGSSHS8M,35:26.4,1,1,24
ID_GWZR2P,ID_UGSSHS8M,43:12.2,1,1,24
ID_2FV7GY,ID_UGSSHS8M,34:42.3,1,1,24
ID_EY4LOW,ID_UGSSHS8M,37:33.4,1,1,24
