Competition ID,Participant Type,Successful Submission Count,User_ID,Created At time,Created At Year,Created At Month,Created At Day_of_month
ID_JRC2,1,,ID_UZYH71RG,33:59.4,1,1,10
ID_I9BN,1,,ID_UZYH71RG,26:17.2,1,1,20
ID_PB3Q,1,,ID_S4YHK1H9,25:07.2,1,1,29
ID_6IDY,1,count 10,ID_E6HQP9A1,43:54.2,1,1,28
ID_2MIC,1,,ID_E6HQP9A1,23:00.3,1,1,27
ID_UB7R,1,,ID_E6HQP9A1,23:00.3,1,1,27
ID_8B8I,1,,ID_E6HQP9A1,33:06.4,1,1,13
ID_20XL,1,,ID_MTPRHW3W,40:32.8,1,1,7
ID_JX23,1,,ID_R48FY71V,43:23.1,1,1,9
ID_Y6FW,1,,ID_R48FY71V,54:28.4,1,1,25
ID_2MIC,1,,ID_R48FY71V,53:52.6,1,1,25
ID_8B8I,1,,ID_R48FY71V,51:29.4,1,1,25
ID_UB7R,1,,ID_R48FY71V,53:52.6,1,1,25
ID_0D02,1,,ID_R48FY71V,53:52.6,1,1,25
ID_64EM,1,,ID_R48FY71V,32:52.7,1,1,2
ID_V0UK,1,count 10,ID_R48FY71V,06:50.6,1,1,16
ID_F7QD,1,,ID_R48FY71V,54:28.4,1,1,25
ID_GR92,1,,ID_R48FY71V,33:37.0,1,1,2
ID_528W,1,count 10,ID_R48FY71V,23:28.1,1,1,9
ID_PDKH,1,,ID_R48FY71V,16:59.6,1,1,2
ID_56O8,1,,ID_R48FY71V,52:55.0,1,1,25
ID_20XL,1,count 8,ID_SZY7UVP1,46:01.8,1,1,19
ID_L3EB,1,,ID_OADEWTE1,06:08.1,1,1,3
ID_20XL,1,,ID_VYNC1S1L,03:12.5,1,1,27
ID_528W,1,,ID_VYNC1S1L,02:15.0,1,1,27
ID_2MIC,1,,ID_VYNC1S1L,30:07.7,1,1,28
ID_UB7R,1,,ID_VYNC1S1L,30:07.7,1,1,28
ID_64EM,1,,ID_ZHR6NCSJ,12:37.5,1,1,4
ID_JRC2,1,,ID_ZHR6NCSJ,03:11.4,1,1,7
ID_NKJR,1,,ID_0DB41K6U,44:00.9,1,1,11
ID_IVH9,1,,ID_0DB41K6U,44:00.9,1,1,11
ID_I9BN,1,count 10,ID_PQUS7VW7,25:18.3,1,1,30
ID_PDKH,1,,ID_0KA7OG2P,33:30.3,1,1,14
ID_JRC2,1,,ID_0KA7OG2P,32:36.1,1,1,14
ID_20XL,1,,ID_0KA7OG2P,31:01.6,1,1,14
ID_I9BN,1,count 10,ID_31QR7QF0,32:24.8,1,1,29
ID_9BU8,1,,ID_WE91SBU5,29:02.0,1,1,8
ID_GVGW,1,,ID_WE91SBU5,13:41.5,1,1,9
ID_WOVD,1,,ID_G23UREIF,54:17.5,1,1,8
ID_JRC2,1,count 10,ID_G23UREIF,09:09.5,1,1,7
ID_J883,1,count 10,ID_G23UREIF,41:17.5,1,1,24
ID_64EM,1,,ID_G23UREIF,19:18.1,1,1,2
ID_8B8I,1,,ID_G23UREIF,53:27.3,1,1,15
ID_UU4Y,1,count 8,ID_G23UREIF,57:51.1,1,1,23
ID_20XL,1,count 6,ID_G23UREIF,50:41.5,1,1,7
ID_0W7H,1,count 10,ID_G23UREIF,20:38.1,1,1,24
ID_Y6FW,1,count 10,ID_G23UREIF,04:45.9,1,1,11
ID_56O8,1,count 10,ID_G23UREIF,24:58.7,1,1,22
ID_UB7R,1,count 10,ID_G23UREIF,15:48.8,1,1,24
ID_20XL,1,,ID_C78MA4IQ,25:54.5,1,1,24
ID_UU4Y,1,,ID_C78MA4IQ,29:48.6,1,1,24
ID_64EM,1,count 10,ID_W1DZOJ6M,15:43.1,1,1,5
ID_51ZG,1,,ID_QXX2M5VT,29:26.4,1,1,6
ID_WOVD,1,,ID_QXX2M5VT,28:58.6,1,1,6
ID_I9BN,1,count 10,ID_QXX2M5VT,43:40.8,1,1,6
ID_8B8I,1,,ID_QXX2M5VT,34:32.3,1,1,13
ID_GR92,1,,ID_QXX2M5VT,24:52.8,1,1,6
ID_20XL,1,,ID_QXX2M5VT,19:41.5,1,1,6
ID_AL6C,1,,ID_QZ0QFG81,01:22.0,1,1,6
ID_528W,1,,ID_QZ0QFG81,50:24.1,1,1,8
ID_20XL,1,,ID_QZ0QFG81,02:01.6,1,1,6
ID_3MK3,1,,ID_N3B3N1YG,51:02.3,1,1,23
ID_20XL,1,,ID_695FGT57,54:27.0,1,1,17
ID_P9B6,1,,ID_N6CKCB8D,31:47.4,1,1,15
ID_6E1C,1,,ID_KPP36L30,15:33.4,1,1,17
ID_D3SA,1,,ID_KPP36L30,15:33.4,1,1,17
ID_8B8I,1,,ID_2D87FL7J,35:16.0,1,1,11
ID_528W,1,count 10,ID_J02LSAUY,03:53.2,1,1,10
ID_528W,1,,ID_DDGQRTO0,22:40.4,1,1,3
ID_528W,1,,ID_HQFIHM1J,02:22.3,1,1,16
ID_PH4T,1,,ID_CDNG5WAA,44:00.1,1,1,2
ID_528W,1,,ID_CDNG5WAA,19:28.1,1,1,8
ID_J883,1,,ID_CDNG5WAA,46:54.1,1,1,2
ID_JRC2,1,,ID_7W34EYPI,16:26.8,1,1,7
ID_53GM,1,,ID_YK6BNMZ0,25:42.5,1,1,28
ID_GVGW,1,,ID_0XF0B5MQ,30:49.3,1,1,20
ID_D3SA,1,,ID_42HKWNFO,34:54.9,1,1,8
ID_6E1C,1,,ID_42HKWNFO,34:55.0,1,1,8
ID_GR92,1,,ID_4856WUKZ,05:01.1,1,1,3
ID_D6NX,1,,ID_VYFE6R8C,40:41.6,1,1,15
ID_IVH9,1,,ID_PEMHUSCA,45:28.3,1,1,3
ID_NKJR,1,,ID_PEMHUSCA,45:28.3,1,1,3
ID_I9BN,1,,ID_MIJHOOWM,52:52.9,1,1,4
ID_GR92,1,count 10,ID_MIJHOOWM,51:32.4,1,1,25
ID_PDKH,1,count 10,ID_06C3AY6T,05:10.7,1,1,16
ID_Y6FW,1,,ID_06C3AY6T,37:01.2,1,1,16
ID_8B8I,1,,ID_06C3AY6T,53:06.3,1,1,16
ID_BARV,1,,ID_06C3AY6T,33:34.8,1,1,16
ID_F7QD,1,,ID_06C3AY6T,37:01.2,1,1,16
ID_528W,1,,ID_6V284562,44:27.2,1,1,30
ID_IQLI,1,count 10,ID_PUCQRPY4,47:51.8,1,1,2
ID_NKJR,1,,ID_9696ODKO,12:24.9,1,1,2
ID_IVH9,1,,ID_9696ODKO,12:24.9,1,1,2
ID_GR92,1,count 10,ID_J8KJEW0E,29:09.9,1,1,30
ID_F7QD,1,,ID_J8KJEW0E,20:35.6,1,1,29
ID_M3G0,1,,ID_J8KJEW0E,30:13.3,1,1,30
ID_UU4Y,1,,ID_J8KJEW0E,17:53.0,1,1,29
ID_Y6FW,1,count 10,ID_J8KJEW0E,20:35.6,1,1,29
ID_528W,1,count 10,ID_AV9Y1ANJ,49:20.6,1,1,4
ID_WOVD,1,,ID_78QOBVU4,52:04.7,1,1,26
ID_528W,1,,ID_5BD6RALG,43:29.7,1,1,6
ID_GR92,1,,ID_POJKT5FT,43:17.0,1,1,4
ID_UU4Y,1,,ID_HA5GD0UH,28:01.4,1,1,25
ID_8B8I,1,,ID_HA5GD0UH,29:22.7,1,1,25
ID_528W,1,count 9,ID_HA5GD0UH,42:09.6,1,1,3
ID_GR92,1,count 10,ID_HA5GD0UH,29:49.8,1,1,30
ID_UU4Y,1,,ID_Y7BQ6PQ0,08:16.2,1,1,25
ID_20XL,1,,ID_ODA20WNN,46:24.6,1,1,7
ID_20XL,1,,ID_T7XFGNZZ,22:58.0,1,1,7
ID_528W,1,,ID_L3OG3GUH,37:02.6,1,1,6
ID_GR92,1,,ID_M28G2PR9,49:43.7,1,1,23
ID_56O8,1,,ID_M28G2PR9,21:21.7,1,1,22
ID_528W,1,count 8,ID_VO7AHXX3,26:13.3,1,1,7
ID_GR92,1,,ID_VO7AHXX3,59:36.9,1,1,22
ID_GR92,1,,ID_B0A5VRC4,33:29.9,1,1,1
ID_64EM,1,,ID_B0A5VRC4,28:01.8,1,1,3
ID_9BU8,1,,ID_TES2K3JK,54:07.6,1,1,28
ID_GVGW,1,,ID_RNG54JYD,30:09.9,1,1,4
ID_528W,1,,ID_635Y268V,27:41.0,1,1,8
ID_64EM,1,,ID_MMGIUW5L,50:13.7,1,1,4
ID_56O8,1,,ID_MMGIUW5L,23:49.7,1,1,24
ID_BARV,1,,ID_VBK5XYC3,50:04.8,1,1,9
ID_20XL,1,,ID_405OQG3V,15:31.7,1,1,8
ID_BARV,1,,ID_DL2F98C3,19:23.5,1,1,2
